rank,campus,state,IPEDS_UNITID,outreach_priority,market_opportunity,growth_momentum,growth_label,distribution_strength,business_bachelors,business_growth_5y,accounting_bachelors,undergrad_enrollment,greek_chapters,councils,estimated_intro1_annual,why,next_action
61,University of West Georgia,GA,141334,63.5,69.5,43.8,STABLE,67.2,358,-14.1%,45,8413,28,,859,358 business grads/year (2024) • Business completions -14% over 5Y • 28 social Greek chapters • Council contacts verified,Council outreach
62,Texas State University,TX,228459,63.1,80.9,43.2,STABLE,43.4,1102,-15.0%,129,34547,24,IFC+MGC+NPHC+PANHELLENIC,2645,"1,102 business grads/year (2024) • Business completions -15% over 5Y • 24 social Greek chapters • Large undergrad population (34,547) • 129 accounting grads/year",Greek council enrichment
63,University of Massachusetts Dartmouth,MA,167987,63.1,71.5,42,STABLE,63.1,325,-21.7%,65,5602,54,IFC+MGC+NPHC+PANHELLENIC,780,325 business grads/year (2024) • Business completions -22% over 5Y • 54 social Greek chapters • 65 accounting grads/year • Business-heavy (29% of bachelor's),Greek council enrichment
64,California State University-Fresno,CA,110556,62.9,67.2,52.3,STABLE,PENDING,708,-1.8%,0,21430,NOT_RUN,,1699,"708 business grads/year (2024) • Business completions -2% over 5Y • Large undergrad population (21,430)",Enrich structural data
65,Boise State University,ID,142115,62.9,84.9,86.7,RAPID_GROWTH,0,862,+45.1%,91,23491,NOT_RUN,,2069,"862 business grads/year (2024) • Business completions +45% over 5Y • Large undergrad population (23,491) • 91 accounting grads/year",Enrich structural data
66,University of Tampa,FL,137847,62.6,83.4,88.8,RAPID_GROWTH,0,768,+30.2%,75,10111,NOT_RUN,,1843,768 business grads/year (2024) • Business completions +30% over 5Y • 75 accounting grads/year • Business-heavy (35% of bachelor's),Enrich structural data
67,Texas Christian University Fort,TX,228875,62.4,82.1,91,RAPID_GROWTH,0,701,+34.0%,68,10937,NOT_RUN,,1682,701 business grads/year (2024) • Business completions +34% over 5Y • 68 accounting grads/year • Business-heavy (28% of bachelor's),Enrich structural data
68,Missouri State University,MO,179566,62.4,80.8,27.1,DECLINING,53.7,692,-28.2%,73,19259,31,IFC+NPHC+PANHELLENIC,1661,"692 business grads/year (2024) • Business completions -28% over 5Y • 31 social Greek chapters • IFC + NPHC + PANHELLENIC contacts verified • Large undergrad population (19,259)",Council outreach
69,Old Dominion University,VA,232982,62.3,73.8,45.9,STABLE,52.5,557,-13.8%,65,17736,32,IFC+MGC+NPHC+PANHELLENIC,1337,"557 business grads/year (2024) • Business completions -14% over 5Y • 32 social Greek chapters • Large undergrad population (17,736) • 65 accounting grads/year",Greek council enrichment
70,Dallas Baptist University,TX,224226,61.7,58,65.9,GROWING,65.9,175,-6.9%,20,2850,51,,420,175 business grads/year (2024) • Business completions -7% over 5Y • 51 social Greek chapters • Council contacts verified • Business-heavy (30% of bachelor's),Council outreach
71,Towson University,MD,164076,61.5,73.2,50.9,STABLE,46.7,603,-10.4%,108,16517,27,IFC+NPHC+PANHELLENIC,1447,"603 business grads/year (2024) • Business completions -10% over 5Y • 27 social Greek chapters • IFC + NPHC + PANHELLENIC contacts verified • Large undergrad population (16,517)",Council outreach
72,Troy University,AL,102368,61.4,69.4,39.7,DECLINING,62.8,418,-11.8%,36,10468,23,IFC+NPHC+PANHELLENIC,1003,418 business grads/year (2024) • Business completions -12% over 5Y • 23 social Greek chapters,Greek council enrichment
