rank,campus,state,IPEDS_UNITID,outreach_priority,market_opportunity,growth_momentum,growth_label,distribution_strength,business_bachelors,business_growth_5y,accounting_bachelors,undergrad_enrollment,greek_chapters,councils,estimated_intro1_annual,why,next_action
24,University of Mississippi,MS,176017,76.3,86.7,54.5,STABLE,72.8,1058,-13.4%,217,19094,37,IFC+NPHC+PANHELLENIC,2539,"1,058 business grads/year (2024) • Business completions -13% over 5Y • 37 social Greek chapters • Large undergrad population (19,094) • 217 accounting grads/year",Greek council enrichment
25,University of Wisconsin–Madison,WI,240444,88.3,86.6,89.7,RAPID_GROWTH,90.6,1414,+38.6%,108,36797,54,,3394,"1,414 business grads/year (2024) • Business completions +39% over 5Y • 54 social Greek chapters • Large undergrad population (36,797) • 108 accounting grads/year",Greek council enrichment
26,University of South Florida,FL,137351,81.3,85.9,78.9,GROWING,74.1,1704,+28.5%,253,37269,39,IFC+MGC+NPHC+PANHELLENIC,4090,"1,704 business grads/year (2024) • Business completions +29% over 5Y • 39 social Greek chapters • Large undergrad population (37,269) • 253 accounting grads/year",Greek council enrichment
27,Grand Valley State University Allendal,MI,170082,74.9,85.5,48.3,STABLE,PENDING,939,-13.1%,121,19243,NOT_RUN,,2254,"939 business grads/year (2024) • Business completions -13% over 5Y • Large undergrad population (19,243) • 121 accounting grads/year",Enrich structural data
28,Western Michigan University,MI,172699,79.6,85.2,65.7,GROWING,PENDING,847,-1.7%,170,13026,NOT_RUN,,2033,"847 business grads/year (2024) • Business completions -2% over 5Y • Large undergrad population (13,026) • 170 accounting grads/year • Business-heavy (27% of bachelor's)",Enrich structural data
29,Texas A&M University Coll,TX,228723,75.8,85,52.9,STABLE,PENDING,1809,-10.0%,271,59933,NOT_RUN,,4342,"1,809 business grads/year (2024) • Business completions -10% over 5Y • Large undergrad population (59,933) • 271 accounting grads/year",Enrich structural data
30,Florida Atlantic University,FL,133669,75.3,84.9,75.1,GROWING,56.3,1389,+11.6%,205,24614,27,IFC+MGC+NPHC+PANHELLENIC,3334,"1,389 business grads/year (2024) • Business completions +12% over 5Y • 27 social Greek chapters • Large undergrad population (24,614) • 205 accounting grads/year",Greek council enrichment
31,Illinois State University,IL,145813,75.9,84.7,53.8,STABLE,PENDING,973,-6.7%,128,18450,NOT_RUN,,2335,"973 business grads/year (2024) • Business completions -7% over 5Y • Large undergrad population (18,450) • 128 accounting grads/year",Enrich structural data
32,University of Florida,FL,134130,85.9,84.6,76.3,GROWING,96,1284,+8.2%,145,34924,63,IFC+MGC+NPHC+PANHELLENIC,3082,"1,284 business grads/year (2024) • Business completions +8% over 5Y • 63 social Greek chapters • Large undergrad population (34,924) • 145 accounting grads/year",Greek council enrichment
33,University of Delaware,DE,130943,83.9,84.6,75.5,GROWING,89.3,914,+7.1%,74,19772,53,IFC+MGC+NPHC+PANHELLENIC,2194,"914 business grads/year (2024) • Business completions +7% over 5Y • 53 social Greek chapters • Large undergrad population (19,772) • 74 accounting grads/year",Greek council enrichment
