chapter_id,campus,chapter,council,legal_entity_status,legal_entity_count,local_entity_count,local_entity_found,house_corporation_found,foundation_found,national_parent_found,alumni_corp_found,latest_990_year,officer_count_latest_filing,director_count_latest_filing,latest_reported_president,latest_reported_treasurer,latest_revenue,latest_expenses,latest_assets,latest_liabilities,alumni_governance_strength,data_confidence
1e7e70cd-6de9-47d0-a427-8d319ee8afee,University of Georgia,Pi Kappa Phi,IFC,ENTITY_MATCHED,2,1,true,false,false,true,false,2024,0,0,,,7651700,6650513,12806295,8166805,LIGHT,HIGH
2e766e8b-b5e0-4ff8-a3e0-f9408d0c7c16,University of Georgia,Lambda Chi Alpha,IFC,ENTITY_MATCHED,2,1,true,false,false,true,false,2023,0,0,,,7757361,9318779,6329265,6105805,LIGHT,HIGH
3e6c3cbb-5b85-444e-88de-0cb8618a0ae0,University of Georgia,Sigma Chi,IFC,ENTITY_MATCHED,2,1,true,false,false,true,false,2023,0,0,,,89185,80469,9173,0,LIGHT,HIGH
a680313e-d9aa-4102-b1a7-e9287f642134,University of Georgia,Lambda Theta Alpha,MGC,NEEDS_REVIEW,1,0,false,false,false,true,false,2024,0,0,,,575588,519075,2038399,39114,LIGHT,NATIONAL_ONLY
b1a94daa-8d28-4ae8-bf56-8cfb3372edad,University of Kentucky,Kappa Alpha Psi,NPHC,NEEDS_REVIEW,1,0,false,false,false,true,false,2016,0,0,,,5407230,4580050,6573534,491114,LIGHT,NATIONAL_ONLY
b2f23af1-1e9a-4f2c-aaf2-49c9b9374d34,University of Kentucky,Lambda Theta Alpha,MGC,NO_ENTITY_FOUND,1,0,false,false,false,true,false,2024,0,0,,,575588,519075,2038399,39114,LIGHT,NATIONAL_ONLY
bd41da9f-4b96-407b-a3c6-dde8a31635d3,University of Kentucky,Kappa Delta,Panhellenic,ENTITY_MATCHED,3,2,true,true,false,true,false,2024,7,8,KELLEN MCCOWN,,261483,289428,185639,0,STRONG,HIGH
c044d843-b59e-4529-bab3-4f53a1338635,University of Kentucky,Phi Sigma Rho,Panhellenic,ENTITY_MATCHED,2,0,false,false,false,true,false,2023,0,0,,,606354,573393,552349,4873,LIGHT,NATIONAL_ONLY
c21ce060-86d2-4163-a2a1-3941cfd82f39,University of Georgia,Delta Phi Lambda,MGC,NEEDS_REVIEW,0,0,false,false,false,false,false,,0,0,,,,,,,UNKNOWN,NONE
c43b2c46-d683-41fe-8b31-3ddde018f5ad,University of Georgia,Kappa Phi Gamma,MGC,NO_ENTITY_FOUND,0,0,false,false,false,false,false,,0,0,,,,,,,UNKNOWN,NONE
c504aa9a-ade9-4780-bbe2-260ff8963d3c,University of Kentucky,Alpha Kappa Alpha,NPHC,NO_ENTITY_FOUND,1,0,false,false,false,true,false,2023,0,0,,,45276043,47246171,78704412,25926573,LIGHT,NATIONAL_ONLY
