ein,legal_name,entity_type,tax_year,form_type,rich_filing_available,total_revenue,total_expenses,total_assets,total_liabilities,net_assets,source
742155975,SIGMA EPSILON OF KAPPA DELTA HOUSE CORP,HOUSE_CORPORATION,2018,990,true,1060157,854045,2647703,2137756,509947,PROPUBLICA_API
741932980,XI KAPPA OF CHI OMEGA HOUSE CORP,HOUSE_CORPORATION,2018,990,true,726884,515612,1945973,333199,1612774,PROPUBLICA_API
134264657,GAMMA PHI BETA SORORITY INC,LOCAL_CHAPTER_ENTITY,2018,990,true,322297,323664,89674,47732,41942,PROPUBLICA_API
732350514,TEXAS ETA CHAPTER OF PI BETA PHI HOUSE CORPORATION,HOUSE_CORPORATION,2018,990,true,282291,270522,1235694,357495,878199,PROPUBLICA_API
741219941,BETA XI OF KAPPA KAPPA GAMMA HOUSE ASSOCIATION,HOUSE_CORPORATION,2018,990,true,1511868,1186199,3572310,2099179,1473131,PROPUBLICA_API
742657126,THETA CHI FRATERNITY INC,LOCAL_CHAPTER_ENTITY,2018,990N,false,,,,,,PROPUBLICA_API
742205939,KAPPA DELTA SORORITY,LOCAL_CHAPTER_ENTITY,2018,990,true,395762,496691,349030,265707,83323,PROPUBLICA_API
742930349,ETA ALPHA HOUSE CORPORATION OF KAPPA DELTA SORORITY,HOUSE_CORPORATION,2018,990,true,642120,698795,1000357,1013222,-12865,PROPUBLICA_API
810575553,PHI GAMMA DELTA FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990,true,557739,503752,103301,0,103301,PROPUBLICA_API
742205743,KAPPA ALPHA ORDER,UNKNOWN,2018,990,true,591881,627937,64641,0,64641,PROPUBLICA_API
530209696,OMEGA PSI PHI FRATERNITY,NATIONAL_PARENT,2018,990,true,8623504,8254139,7555047,1314098,6240949,PROPUBLICA_API
741116922,DELTA TAU DELTA FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990,true,1321086,1087943,1312392,914703,397689,PROPUBLICA_API
621218011,ALPHA DELTA PI HOUSE CORPORATION,HOUSE_CORPORATION,2018,990,true,135588,191072,525385,2571,522814,PROPUBLICA_API
