ein,legal_name,entity_type,entity_type_confidence,city,state,zip,irs_subsection,ntee_code,affiliation_code,group_exemption_number,asset_amt,income_amt,source
586074021,PHI KAPPA THETA FRATERNITY,LOCAL_CHAPTER_ENTITY,MEDIUM,ATHENS,GA,30605-1250,07,Y42,3,,,,IRS_EO_BMF
636103404,PHI GAMMA DELTA FRATERNITY,LOCAL_CHAPTER_ENTITY,MEDIUM,TUSCALOOSA,AL,35403-3117,07,,9,0204,4002528,1218149,IRS_EO_BMF
510207397,ZETA PHI BETA SORORITY INC,LOCAL_CHAPTER_ENTITY,MEDIUM,TUSCALOOSA,AL,35403-2656,07,,9,1474,,,IRS_EO_BMF
521345275,ZETA PHI BETA SORORITY INC,LOCAL_CHAPTER_ENTITY,MEDIUM,TUSCALOOSA,AL,35403-2656,07,,9,1474,,,IRS_EO_BMF
380293927,SIGMA KAPPA CORPORATION,UNKNOWN,LOW,TUSCALOOSA,AL,35403-1880,07,,3,,1794931,693386,IRS_EO_BMF
630458038,PHI KAPPA PSI FRATERNITY ALABAMA ALPHA CHAPTER,LOCAL_CHAPTER_ENTITY,MEDIUM,TUSCALOOSA,AL,35406-1731,07,B83,3,,929843,2155530,IRS_EO_BMF
420467540,PHI KAPPA PSI FRATERNITY,LOCAL_CHAPTER_ENTITY,MEDIUM,TUSCALOOSA,AL,35403-1880,07,,9,0301,151556,710015,IRS_EO_BMF
936036290,PHI KAPPA PSI FRATERNITY,LOCAL_CHAPTER_ENTITY,MEDIUM,TUSCALOOSA,AL,35403-1880,07,,9,0301,53361,623851,IRS_EO_BMF
320257409,BETA MU HOUSE CORP OF ALPHA PHI INTERNATIONAL FRATERNITY INC,HOUSE_CORPORATION,HIGH,TUSCALOOSA,AL,35403-3117,07,Y40,3,,17547760,3726603,IRS_EO_BMF
941367157,ALPHA PHI BUILDING CORPORATION,HOUSE_CORPORATION,HIGH,TUSCALOOSA,AL,35403-3117,07,B83,3,,3704834,1319312,IRS_EO_BMF
237168940,ALPHA GAMMA DELTA FRATERNITY,LOCAL_CHAPTER_ENTITY,MEDIUM,TUSCALOOSA,AL,35406-2107,07,,9,0416,,,IRS_EO_BMF
237235595,ALPHA GAMMA DELTA FRATERNITY,LOCAL_CHAPTER_ENTITY,MEDIUM,TUSCALOOSA,AL,35406-2607,07,,9,0416,12214609,1246859,IRS_EO_BMF
630007510,ALPHA GAMMA DELTA FRATERNITY,LOCAL_CHAPTER_ENTITY,MEDIUM,TUSCALOOSA,AL,35401-0000,07,,9,0416,2573187,4302274,IRS_EO_BMF
630289653,THETA CHI FRATERNITY INC,LOCAL_CHAPTER_ENTITY,MEDIUM,TUSCALOOSA,AL,35401-0000,07,,9,0241,32444,751373,IRS_EO_BMF
